,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Spawn Rate,Statistics Weight,Notifications Weight,Get Accounts Weight,Put Accounts Weight,Unnamed: 29
7800,1745555499,903,,Aggregated,186.7,106.1,600.0,820.0,1100.0,1300.0,2100.0,4300.0,8800.0,21000.0,21000.0,22000.0,22000.0,11161,7792,600.0,1299.2800621359818,16.451299998152535,21598.19819999757,156.99023385001345,13,8,2,128,16,
7900,1745555607,30,,Aggregated,0.0,0.0,150.0,180.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,30,0,140.0,564.7015966670248,26.65279999928316,1520.0628000020515,185.33333333333331,10,1,32,32,2,
8000,1745555708,184,,Aggregated,26.9,0.0,360.0,480.0,580.0,650.0,810.0,950.0,1700.0,7900.0,21000.0,21000.0,21000.0,6651,3732,360.0,543.0433227935904,9.42429999849992,21260.41520000217,133.17666516313335,10,1,32,32,2,
8100,1745555813,140,,Aggregated,28.6,0.0,40.0,96.0,110.0,120.0,150.0,190.0,210.0,220.0,240.0,240.0,240.0,654,8,40.0,70.93432614690627,7.8850000027159695,244.37749999924563,122.9954128440367,5,4,64,8,64,
8200,1745555914,640,,Aggregated,106.3,0.0,40.0,51.0,64.0,77.0,120.0,160.0,200.0,220.0,310.0,330.0,330.0,7934,8,40.0,56.6530707587612,7.8850000027159695,325.7550000016636,62.97806906982606,5,4,64,8,64,
8300,1745556019,318,,Aggregated,57.2,0.0,60.0,98.0,120.0,130.0,220.0,330.0,1300.0,1800.0,2200.0,2300.0,2300.0,2099,4,60.0,132.34424159125427,10.835300003236624,2275.112599996646,91.48499285373988,6,2,16,4,128,
8400,1745556120,918,,Aggregated,146.5,0.0,47.0,60.0,74.0,89.0,140.0,220.0,320.0,370.0,2100.0,2200.0,2300.0,13163,4,47.0,76.24817703411797,10.297700002411148,2275.112599996646,49.083415634733726,6,2,16,4,128,
8500,1745556227,1170,,Aggregated,179.4,121.5,760.0,1200.0,1600.0,2000.0,4100.0,16000.0,22000.0,22000.0,22000.0,23000.0,23000.0,12018,8793,760.0,2208.5369988184616,12.49889999962761,22659.24140000061,121.23764353469797,15,128,8,64,1,
8600,1745556336,72,,Aggregated,22.666667,2.666667,120.0,280.0,310.0,320.0,360.0,480.0,640.0,650.0,1300.0,1300.0,1300.0,223,16,120.0,187.9965448430501,22.161799999594223,1291.958000001614,168.609865470852,8,128,2,1,16,
8700,1745556437,487,,Aggregated,76.5,0.0,45.0,56.0,67.0,79.0,160.0,270.0,330.0,370.0,620.0,1300.0,1300.0,7159,16,45.0,72.48131916467945,10.460599998623366,1291.958000001614,41.04036876658751,8,128,2,1,16,
